time_s,current_A,speed_rad_s,voltage_V,load_Nm
0.0,0.0,0.0,24.0,0.0
0.005,0.23880397766015624,0.00036988714843750003,24.0,0.0
0.01,0.4752317431255163,0.0014594361255692028,24.0,0.0
0.015,0.7093068699690585,0.0032392309412625302,24.0,0.0
0.02,0.9410527000807737,0.005680832809675083,24.0,0.0
0.025,1.170492345877258,0.00875674937444769,24.0,0.0
0.03,1.3976486924923337,0.012440404887507556,24.0,0.0
0.035,1.622544399948794,0.016706111312083806,24.0,0.0
0.04,1.8452019053113697,0.02152904032144244,24.0,0.0
0.045,2.0656434248210145,0.02688519616572473,24.0,0.0
0.05,2.283890956010614,0.03275138938012295,24.0,0.0
0.055,2.499966279802216,0.03910521130845131,24.0,0.0
0.06,2.71389096258589,0.04592500941696816,24.0,0.0
0.065,2.9256863582803168,0.053189863374079834,24.0,0.0
0.07,3.135373610375223,0.06087956187230627,24.0,0.0
0.075,3.342973653955758,0.06897458016961566,24.0,0.0
0.08,3.5485072177089307,0.07745605832794031,24.0,0.0
0.085,3.7519948259122122,0.08630578012736838,24.0,0.0
0.09,3.953456800404417,0.09550615263516866,24.0,0.0
0.095,4.152913262538975,0.10504018640944693,24.0,0.0
0.1,4.350384135119708,0.11489147631785411,24.0,0.0
0.105,4.545889144319221,0.12504418295236977,24.0,0.0
0.11,4.739447821580028,0.135483014621768,24.0,0.0
0.115,4.931079505498524,0.14619320990393958,24.0,0.0
0.12,5.12080334369192,0.1571605207407926,24.0,0.0
0.125,5.308638294648256,0.16837119605898626,24.0,0.0
0.13,5.494603129559616,0.17981196590026746,24.0,0.0
0.135,5.678716434138649,0.19147002604568,24.0,0.0
0.14,5.860996610418526,0.2033330231184003,24.0,0.0
0.145,6.041461878536442,0.2153890401504231,24.0,0.0
0.15,6.220130278500793,0.22762658259877563,24.0,0.0
0.155,6.397019671942133,0.24003456479737945,24.0,0.0
0.16,6.572147743848034,0.2526022968311068,24.0,0.0
0.165,6.745532004281975,0.26531947181899296,24.0,0.0
0.17,6.9171897900863675,0.2781761535939666,24.0,0.0
0.17500000000000002,7.08713826656985,0.2911627647668503,24.0,0.0
0.18,7.255394429178954,0.3042700751627608,24.0,0.0
0.185,7.421975105154272,0.3174891906184019,24.0,0.0
0.19,7.58689695517125,0.3308115421291013,24.0,0.0
0.195,7.7501764749657065,0.3442288753347815,24.0,0.0
0.2,7.911829996944213,0.35773324033439213,24.0,0.0
0.20500000000000002,8.071873691779448,0.3713169818186495,24.0,0.0
0.21,8.230323569990643,0.3849727295112463,24.0,0.0
0.215,8.387195483509236,0.39869338890899286,24.0,0.0
0.22,8.542505127229859,0.41247213231164964,24.0,0.0
0.225,8.696268040546764,0.42630239013249116,24.0,0.0
0.23,8.848499608875825,0.44017784248092134,24.0,0.0
0.23500000000000001,8.999215065162202,0.4540924110087244,24.0,0.0
0.24,9.148429491373818,0.46804025101179725,24.0,0.0
0.245,9.29615781998074,0.48201574377945905,24.0,0.0
0.25,9.442414835420594,0.49601348918367766,24.0,0.0
0.255,9.587215175550122,0.5100282985007889,24.0,0.0
0.26,9.730573333082999,0.5240551874585128,24.0,0.0
0.265,9.872503657014022,0.5380893695012933,24.0,0.0
0.27,10.013020354029798,0.5521262492672027,24.0,0.0
0.275,10.15213748990602,0.56616141626986,24.0,0.0
0.28,10.289868990891465,0.5801906387790148,24.0,0.0
0.28500000000000003,10.426228645078826,0.5942098578936427,24.0,0.0
0.29,10.561230103762473,0.6082151818015911,23.794873321903466,0.0
0.295,10.692845838339373,0.6221997188149088,23.20408893140388,0.0
0.3,10.817272181727908,0.6361478001426069,22.605972829392325,0.0
0.305,10.934507722496514,0.650038425790364,22.001839762699785,0.0
0.31,11.04456414726386,0.6638512578110238,21.39297818797,0.0
0.315,11.147465848712482,0.6775666396268565,20.78064863181297,0.0
0.32,11.243249521184177,0.6911656135320853,20.16608214950077,0.0
0.325,11.331963744961396,0.7046299363951714,19.55047888225389,0.0
0.33,11.413668560328395,0.7179420935831275,18.935006712982247,0.0
0.335,11.488435032493655,0.731085311132795,18.320800020166324,0.0
0.34,11.556344808441176,0.7440435661965543,17.708958529390824,0.0
0.34500000000000003,11.617489666762786,0.7568015957923595,17.10054626187623,0.0
0.35000000000000003,11.67197106150663,0.7693449038902717,16.49659057919228,0.0
0.355,11.71989966105855,0.7816597668698397,15.898081323182474,0.0
0.36,11.761394883053319,0.7937332373847125,15.305970049979717,0.0
0.365,11.7965844262916,0.8055531466727833,14.721169356850833,0.0
0.37,11.825603800616266,0.8171081053519589,14.144552300471426,0.0
0.375,11.84859585567823,0.8283875027433049,13.576951905103028,0.0
0.38,11.865710309497581,0.8393815047648655,13.019160759021169,0.0
0.385,11.877103277700273,0.8500810504408639,12.471930697426721,0.0
0.39,11.882936804284322,0.8604778470722861,11.935972569962656,0.0
