time_s,current_A,speed_rad_s,voltage_V,load_Nm
0.0,0.0,0.0,24.0,0.0
0.005,0.23844671840999998,0.0005875659250000001,24.0,0.0
0.01,0.4738135761401413,0.0023018050703647527,24.0,0.0
0.015,0.7061402438260207,0.005072846031786643,24.0,0.0
0.02,0.9354658864838533,0.00883441730356913,24.0,0.0
0.025,1.1618291696922602,0.013523669258799893,24.0,0.0
0.03,1.3852682657114639,0.019081004841647976,24.0,0.0
0.035,1.6058208595398518,0.02544991854658427,24.0,0.0
0.04,1.8235241549079189,0.03257684328006189,24.0,0.0
0.045,2.03841488020963,0.04041100471991904,24.0,0.0
0.05,2.2505292943712853,0.048904282806531085,24.0,0.0
0.055,2.4599031926580066,0.0580110800175879,24.0,0.0
0.06,2.6665719124179885,0.06768819609535125,24.0,0.0
0.065,2.8705703387646984,0.07789470891139796,24.0,0.0
0.07,3.071932910197228,0.08859186116921812,24.0,0.0
0.075,3.2706936241590303,0.0997429526596516,24.0,0.0
0.08,3.4668860425353016,0.11131323779804798,24.0,0.0
0.085,3.6605432970892875,0.12326982818525872,24.0,0.0
0.09,3.8516980948378134,0.13558159994714902,24.0,0.0
0.095,4.040382723366367,0.14821910561928295,24.0,0.0
0.1,4.2266290560840645,0.1611544903548168,24.0,0.0
0.105,4.410468557418869,0.1743614122444634,24.0,0.0
0.11,4.591932287953423,0.18781496654768837,24.0,0.0
0.115,4.771050909501889,0.20149161364409712,24.0,0.0
0.12,4.947854690128202,0.2153691105232897,24.0,0.0
0.125,5.1223735091061435,0.2294264456403256,24.0,0.0
0.13,5.294636861821661,0.24364377697237363,24.0,0.0
0.135,5.464673864617872,0.2580023731201418,24.0,0.0
0.14,5.6325132595832015,0.2724845573053139,24.0,0.0
0.145,5.798183419283094,0.2870736541224762,24.0,0.0
0.15,5.96171235143578,0.30175393891092206,24.0,0.0
0.155,6.123127703532547,0.31651058961829026,24.0,0.0
0.16,6.282456767403003,0.33132964103423906,24.0,0.0
0.165,6.439726483725811,0.3461979412783007,24.0,0.0
0.17,6.5949634464853775,0.36110311043171484,24.0,0.0
0.17500000000000002,6.7481939073749855,0.37603350120841383,24.0,0.0
0.18,6.899443780146869,0.39097816156545134,24.0,0.0
0.185,7.048738644909723,0.405926799158027,24.0,0.0
0.19,7.196103752374154,0.42086974754889145,24.0,0.0
0.195,7.341564028046567,0.43579793408631606,24.0,0.0
0.2,7.485144076371997,0.4507028493690006,24.0,0.0
0.20500000000000002,7.626868184826392,0.4655765182202754,24.0,0.0
0.21,7.766760327958853,0.4804114720977429,24.0,0.0
0.215,7.9048441713843305,0.49520072286810946,24.0,0.0
0.22,8.041143075727303,0.5099377378803853,24.0,0.0
0.225,8.17568010051693,0.524616416273893,24.0,0.0
0.23,8.308478008034182,0.5392310664606259,24.0,0.0
0.23500000000000001,8.439559267111479,0.5537763847244516,24.0,0.0
0.24,8.56894605688531,0.5682474348824588,24.0,0.0
0.245,8.696660270502363,0.5826396289564195,24.0,0.0
0.25,8.822723518779663,0.5969487088048773,24.0,0.0
0.255,8.947157133819204,0.6111707286687866,23.881477702453566,0.0
0.26,9.068804620373077,0.6252991369332891,23.279834167374975,0.0
0.265,9.182902028714324,0.6393131719454562,22.67554607128919,0.0
0.27,9.289520613103464,0.6531817651694826,22.070599885534715,0.0
0.275,9.388750446632761,0.6668757571832626,21.466886088510453,0.0
0.28,9.480699224258403,0.6803678934008472,20.866198121832767,0.0
0.28500000000000003,9.565491070922416,0.6936328141783789,20.270231694380634,0.0
0.29,9.643265358155443,0.706647039610606,19.680584419211158,0.0
0.295,9.71417553235854,0.7193889493261637,19.098755768050502,0.0
0.3,9.77838795776883,0.7318387575898946,18.526147327849085,0.0
0.305,9.836080776920893,0.743978484019634,17.964063343731347,0.0
0.31,9.887442791223755,0.7557919202231261,17.413711532567543,0.0
0.315,9.932672364082771,0.7672645926581406,16.87620415134574,0.0
0.32,9.971976348807074,0.7783837220154596,16.35255930452322,0.0
0.325,10.005569043357116,0.789138179420261,15.843702474586218,0.0
0.33,10.033671173803613,0.799518439742578,15.350468260142154,0.0
0.335,10.056508908189171,0.8095165323020211,14.873602306006951,0.0
0.34,10.074312902307742,0.8191259892458568,14.413763409929224,0.0
0.34500000000000003,10.087317378744778,0.8283417918728859,13.97152579081033,0.0
0.35000000000000003,10.095759240353216,0.8371603151684193,13.547381503532051,0.0
0.355,10.099877219177257,0.8455792708080335,13.141742985789374,0.0
0.36,10.099911061677766,0.8535976488797712,12.754945722642406,0.0
0.365,10.096100750960101,0.8612156585660592,12.387251014845564,0.0
0.37,10.088685766557608,0.8684346680179071,12.038848837382378,0.0
0.375,10.077904382182007,0.8752571436449528,11.709860775027428,0.0
0.38,10.063993001715609,0.8816865890356882,11.400343022171029,0.0
0.385,10.047185533589962,0.8877274837127671,11.110289434575055,0.0
0.39,10.027712803571069,0.893385221918699,10.839634621177236,0.0
0.395,10.005802005852999,0.8986660516175168,10.588257064524644,0.0
0.4,9.981676192249546,0.9035770138881998,10.35598225889223,0.0
0.405,9.955553799167479,0.9081258828757707,10.14258585562769,0.0
0.41000000000000003,9.927648211945172,0.9123211064561079,9.947796805757203,0.0
0.41500000000000004,9.898167366046698,0.9161717477606398,9.771300490386118,0.0
0.42,9.867313384514016,0.9196874276972599,9.612741829932322,0.0
0.425,9.835282250998542,0.9228782685940344,9.471728363736624,0.0
0.43,9.802263517618126,0.9257548390826115,9.347833292101303,0.0
0.435,9.768440046816233,0.9283281003286843,9.240598473314854,0.0
0.44,9.733987786336785,0.9306093537074605,9.149537368725033,0.0
0.445,9.699075576370646,0.9326101900128432,9.074137929422921,0.0
0.45,9.663864987877968,0.9343424402799742,9.013865418596463,0.0
0.455,9.62851019104441,0.9358181282919317,8.96816516410119,0.0
0.46,9.593157852788567,0.9370494248327443,8.936465236277733,0.0
0.465,9.557947062202487,0.9380486037404807,8.918179046519056,0.0
0.47000000000000003,9.523009282776979,0.938827999806025,8.912707862554141,0.0
0.47500000000000003,9.488468330238089,0.9393999685552638,8.91944323686799,0.0
0.48,9.454440374800791,0.9397768479447927,8.937769345119591,0.0
0.485,9.42103396663011,0.939970921993924,8.967065231849265,0.0
0.49,9.388350083288639,0.9399943863687341,9.006706961183374,0.0
0.495,9.356482197942409,0.9398593159271534,9.056069670647634,0.0
0.5,9.325516367094167,0.9395776342276623,9.114529526589433,0.0
0.505,9.295531336614092,0.9391610849980334,9.181465580083898,0.0
0.51,9.266598664842727,0.9386212055547467,9.25626152255813,0.0
0.515,9.238782861549094,0.9379693021582031,9.338307340711955,0.0
0.52,9.212141541538493,0.937216427283685,9.42700087064208,0.0
0.525,9.186725591719153,0.9363733587831438,9.5217492513891,0.0
0.53,9.162579350454445,0.9354505809083449,9.621970278423099,0.0
0.535,9.139740798047665,0.9344582671616697,9.727093657864122,0.0
0.54,9.118241757229178,0.9334062649369449,9.836562162497584,0.0
0.545,9.098108102540884,0.9323040819090597,9.949832690892606,0.0
0.55,9.0793599775402,0.9311608741278171,10.066377231162814,0.0
0.555,9.062012018775,0.9299854357684568,10.185683731124545,0.0
0.56,9.046073585511937,0.9287861904885657,10.307256876806957,0.0
0.5650000000000001,9.031548994233109,0.9275711843386653,10.430618781452193,0.0
0.5700000000000001,9.018437756950046,0.9263480801716142,10.555309587311779,0.0
0.5750000000000001,9.006734822419165,0.9251241534940879,10.680887982698318,0.0
0.58,8.996430819379112,0.9239062897017877,10.806931636889173,0.0
0.585,8.987512300967582,0.9227009826386793,10.933037555601818,0.0
0.59,8.979961989513114,0.9215143344194571,11.05882235986931,0.0
0.595,8.97375902093585,0.920352056453567,11.18392249123879,0.0
0.6,8.968879188030192,0.9192194716084883,11.307994346297082,0.0
0.605,8.965295181941537,0.9181215174495646,11.4307143435953,0.0
0.61,8.962976831188666,0.9170627504934746,11.551778926099502,0.0
0.615,8.96189133762284,0.916047351412436,11.670904502337311,0.0
0.62,8.96200350875398,0.9150791311264312,11.787827329441523,0.0
0.625,8.963275985913528,0.9141615377211219,11.902303341311402,0.0
0.63,8.965669467762378,0.913297664129664,12.014107925121454,0.0
0.635,8.96914292869078,0.9124902565173523,12.12303564940595,0.0
0.64,8.97365383169498,0.9117417233088788,12.228899946936409,0.0
0.645,8.979158335352766,0.9110541447989972,12.33153275558885,0.0
0.65,8.985611494556663,0.910429283288519,12.430784120368308,0.0
0.655,8.99296745469946,0.9098685936888253,12.526521759720797,0.0
0.66,9.001179639041787,0.9093732345394427,12.61863059921767,0.0
0.665,9.010200929025572,0.9089440793847067,12.70701227564506,0.0
0.67,9.019983837330447,0.9085817284570951,12.79158461447188,0.0
0.675,9.0304806735023,0.9082865206164615,12.872281083604955,0.0
0.68,9.041643702014309,0.9080585454961178,12.949050226268618,0.0
0.685,9.053425292650743,0.9078976558085,13.021855075770283,0.0
0.6900000000000001,9.065778063132756,0.9078034797649943,13.09067255483272,0.0
0.6950000000000001,9.078655013932982,0.9077754335663861,13.155492862088723,0.0
0.7000000000000001,9.092009655252308,0.9078127339223288,13.216318848245232,0.0
